Linux 4.4.0-210-generic (ubuntu) 	11/22/2025 	_x86_64_	(4 CPU)

11:17:07 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
11:17:08 PM  1000     13276    0.00    0.00    0.00    0.00     2  memcached

11:17:07 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:17:08 PM  1000     13276      0.00      0.00   54940    2196   0.05  memcached

11:17:08 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
11:17:09 PM  1000     13276    0.00    0.00    0.00    0.00     2  memcached

11:17:08 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:17:09 PM  1000     13276      0.00      0.00   54940    2196   0.05  memcached

11:17:09 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
11:17:10 PM  1000     13276    0.00    0.00    0.00    0.00     2  memcached

11:17:09 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:17:10 PM  1000     13276      0.00      0.00   54940    2196   0.05  memcached

11:17:10 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
11:17:11 PM  1000     13276    0.00    0.00    0.00    0.00     2  memcached

11:17:10 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:17:11 PM  1000     13276      0.00      0.00   54940    2196   0.05  memcached

11:17:11 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
11:17:12 PM  1000     13276    0.00    0.00    0.00    0.00     2  memcached

11:17:11 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:17:12 PM  1000     13276      0.00      0.00   54940    2196   0.05  memcached

11:17:12 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
11:17:13 PM  1000     13276    0.00    0.00    0.00    0.00     2  memcached

11:17:12 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:17:13 PM  1000     13276      0.00      0.00   54940    2196   0.05  memcached

11:17:13 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
11:17:14 PM  1000     13276    0.00    0.00    0.00    0.00     2  memcached

11:17:13 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:17:14 PM  1000     13276      0.00      0.00   54940    2196   0.05  memcached

11:17:14 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
11:17:15 PM  1000     13276    0.00    0.00    0.00    0.00     2  memcached

